,action,episode,reward,step
0,"0,0,0,0,0,0",1,4,1.0
1,"0,0,0,0,0,0",1,6,2.0
2,"1,1,1,1,1,1",1,13,3.0
3,"1,1,1,1,1,1",1,13,4.0
4,"2,0,0,0,0,0",1,13,5.0
5,"2,0,0,0,0,0",1,16,6.0
6,"0,1,1,1,1,1",1,15,7.0
7,"0,1,1,1,1,1",1,21,8.0
8,"1,0,0,0,0,0",1,23,9.0
9,"1,0,0,0,0,0",1,16,10.0
10,"2,1,1,1,1,1",1,16,11.0
11,"2,1,1,1,1,1",1,22,12.0
12,"0,0,0,0,0,0",1,19,13.0
13,"0,0,0,0,0,0",1,18,14.0
14,"1,1,1,1,1,1",1,19,15.0
15,"1,1,1,1,1,1",1,19,16.0
16,"2,0,0,0,0,0",1,20,17.0
17,"2,0,0,0,0,0",1,21,18.0
18,"0,1,1,1,1,1",1,16,19.0
19,"0,1,1,1,1,1",1,22,20.0
20,"1,0,0,0,0,0",1,21,21.0
21,"1,0,0,0,0,0",1,16,22.0
22,"2,1,1,1,1,1",1,14,23.0
23,"2,1,1,1,1,1",1,26,24.0
24,"0,0,0,0,0,0",1,18,25.0
25,"0,0,0,0,0,0",1,22,26.0
26,"1,1,1,1,1,1",1,13,27.0
27,"1,1,1,1,1,1",1,25,28.0
28,"2,0,0,0,0,0",1,17,29.0
29,"2,0,0,0,0,0",1,26,30.0
30,"0,1,1,1,1,1",1,19,31.0
31,"0,1,1,1,1,1",1,29,32.0
32,"1,0,0,0,0,0",1,26,33.0
33,"1,0,0,0,0,0",1,34,34.0
34,"2,1,1,1,1,1",1,16,35.0
35,"2,1,1,1,1,1",1,30,36.0
36,"0,0,0,0,0,0",1,32,37.0
37,"0,0,0,0,0,0",1,29,38.0
38,"1,1,1,1,1,1",1,21,39.0
39,"1,1,1,1,1,1",1,32,40.0
40,"2,0,0,0,0,0",1,34,41.0
41,"2,0,0,0,0,0",1,31,42.0
42,"0,1,1,1,1,1",1,20,43.0
43,"0,1,1,1,1,1",1,30,44.0
44,"1,0,0,0,0,0",1,35,45.0
45,"1,0,0,0,0,0",1,30,46.0
46,"2,1,1,1,1,1",1,18,47.0
47,"2,1,1,1,1,1",1,28,48.0
48,"0,0,0,0,0,0",1,34,49.0
49,"0,0,0,0,0,0",1,29,50.0
50,"1,1,1,1,1,1",1,20,51.0
51,"1,1,1,1,1,1",1,36,52.0
52,"2,0,0,0,0,0",1,32,53.0
53,"2,0,0,0,0,0",1,28,54.0
54,"0,1,1,1,1,1",1,20,55.0
55,"0,1,1,1,1,1",1,31,56.0
56,"1,0,0,0,0,0",1,37,57.0
57,"1,0,0,0,0,0",1,27,58.0
58,"2,1,1,1,1,1",1,19,59.0
59,"2,1,1,1,1,1",1,33,60.0
60,"0,0,0,0,0,0",1,28,61.0
61,"0,0,0,0,0,0",1,29,62.0
62,"1,1,1,1,1,1",1,22,63.0
63,"1,1,1,1,1,1",1,33,64.0
64,"2,0,0,0,0,0",1,37,65.0
65,"2,0,0,0,0,0",1,35,66.0
66,"0,1,1,1,1,1",1,23,67.0
67,"0,1,1,1,1,1",1,29,68.0
68,"1,0,0,0,0,0",1,35,69.0
69,"1,0,0,0,0,0",1,26,70.0
70,"2,1,1,1,1,1",1,17,71.0
71,"2,1,1,1,1,1",1,33,72.0
72,"0,0,0,0,0,0",1,33,73.0
73,"0,0,0,0,0,0",1,29,74.0
74,"1,1,1,1,1,1",1,16,75.0
75,"1,1,1,1,1,1",1,29,76.0
76,"2,0,0,0,0,0",1,40,77.0
77,"2,0,0,0,0,0",1,29,78.0
78,"0,1,1,1,1,1",1,23,79.0
79,"0,1,1,1,1,1",1,26,80.0
80,"1,0,0,0,0,0",1,27,81.0
81,"1,0,0,0,0,0",1,31,82.0
82,"2,1,1,1,1,1",1,21,83.0
83,"2,1,1,1,1,1",1,28,84.0
84,"0,0,0,0,0,0",1,37,85.0
85,"0,0,0,0,0,0",1,35,86.0
86,"1,1,1,1,1,1",1,24,87.0
87,"1,1,1,1,1,1",1,33,88.0
88,"2,0,0,0,0,0",1,33,89.0
89,"2,0,0,0,0,0",1,32,90.0
90,"0,1,1,1,1,1",1,24,91.0
91,"0,1,1,1,1,1",1,34,92.0
92,"1,0,0,0,0,0",1,39,93.0
93,"1,0,0,0,0,0",1,25,94.0
94,"2,1,1,1,1,1",1,19,95.0
95,"2,1,1,1,1,1",1,32,96.0
96,"0,0,0,0,0,0",1,33,97.0
97,"0,0,0,0,0,0",1,21,98.0
98,"1,1,1,1,1,1",1,20,99.0
99,"1,1,1,1,1,1",1,29,100.0
100,"2,0,0,0,0,0",1,31,101.0
101,"2,0,0,0,0,0",1,26,102.0
102,"0,1,1,1,1,1",1,19,103.0
103,"0,1,1,1,1,1",1,29,104.0
104,"1,0,0,0,0,0",1,33,105.0
105,"1,0,0,0,0,0",1,24,106.0
106,"2,1,1,1,1,1",1,20,107.0
107,"2,1,1,1,1,1",1,33,108.0
108,"0,0,0,0,0,0",1,26,109.0
109,"0,0,0,0,0,0",1,23,110.0
110,"1,1,1,1,1,1",1,21,111.0
111,"1,1,1,1,1,1",1,35,112.0
112,"2,0,0,0,0,0",1,27,113.0
113,"2,0,0,0,0,0",1,28,114.0
114,"0,1,1,1,1,1",1,25,115.0
115,"0,1,1,1,1,1",1,31,116.0
116,"1,0,0,0,0,0",1,30,117.0
117,"1,0,0,0,0,0",1,23,118.0
118,"2,1,1,1,1,1",1,24,119.0
119,"2,1,1,1,1,1",1,28,120.0
120,"0,0,0,0,0,0",1,32,121.0
121,"0,0,0,0,0,0",1,24,122.0
122,"1,1,1,1,1,1",1,28,123.0
123,"1,1,1,1,1,1",1,37,124.0
124,"2,0,0,0,0,0",1,29,125.0
125,"2,0,0,0,0,0",1,22,126.0
126,"0,1,1,1,1,1",1,20,127.0
127,"0,1,1,1,1,1",1,41,128.0
128,"1,0,0,0,0,0",1,27,129.0
129,"1,0,0,0,0,0",1,29,130.0
130,"2,1,1,1,1,1",1,29,131.0
131,"2,1,1,1,1,1",1,36,132.0
132,"0,0,0,0,0,0",1,32,133.0
133,"0,0,0,0,0,0",1,30,134.0
134,"1,1,1,1,1,1",1,29,135.0
135,"1,1,1,1,1,1",1,39,136.0
136,"2,0,0,0,0,0",1,30,137.0
137,"2,0,0,0,0,0",1,26,138.0
138,"0,1,1,1,1,1",1,21,139.0
139,"0,1,1,1,1,1",1,35,140.0
140,"1,0,0,0,0,0",1,30,141.0
141,"1,0,0,0,0,0",1,27,142.0
142,"2,1,1,1,1,1",1,24,143.0
143,"2,1,1,1,1,1",1,38,144.0
144,"0,0,0,0,0,0",1,32,145.0
145,"0,0,0,0,0,0",1,35,146.0
146,"1,1,1,1,1,1",1,25,147.0
147,"1,1,1,1,1,1",1,42,148.0
148,"2,0,0,0,0,0",1,38,149.0
149,"2,0,0,0,0,0",1,27,150.0
150,"0,1,1,1,1,1",1,21,151.0
151,"0,1,1,1,1,1",1,37,152.0
152,"1,0,0,0,0,0",1,33,153.0
153,"1,0,0,0,0,0",1,26,154.0
154,"2,1,1,1,1,1",1,25,155.0
155,"2,1,1,1,1,1",1,34,156.0
156,"0,0,0,0,0,0",1,30,157.0
157,"0,0,0,0,0,0",1,27,158.0
158,"1,1,1,1,1,1",1,24,159.0
159,"1,1,1,1,1,1",1,40,160.0
160,"2,0,0,0,0,0",1,31,161.0
161,"2,0,0,0,0,0",1,27,162.0
162,"0,1,1,1,1,1",1,19,163.0
163,"0,1,1,1,1,1",1,36,164.0
164,"1,0,0,0,0,0",1,32,165.0
165,"1,0,0,0,0,0",1,22,166.0
166,"2,1,1,1,1,1",1,19,167.0
167,"2,1,1,1,1,1",1,37,168.0
168,"0,0,0,0,0,0",1,31,169.0
169,"0,0,0,0,0,0",1,22,170.0
170,"1,1,1,1,1,1",1,16,171.0
171,"1,1,1,1,1,1",1,38,172.0
172,"2,0,0,0,0,0",1,25,173.0
173,"2,0,0,0,0,0",1,23,174.0
174,"0,1,1,1,1,1",1,23,175.0
175,"0,1,1,1,1,1",1,34,176.0
176,"1,0,0,0,0,0",1,27,177.0
177,"1,0,0,0,0,0",1,28,178.0
178,"2,1,1,1,1,1",1,20,179.0
179,"2,1,1,1,1,1",1,39,180.0
180,"0,0,0,0,0,0",1,29,181.0
181,"0,0,0,0,0,0",1,31,182.0
182,"1,1,1,1,1,1",1,26,183.0
183,"1,1,1,1,1,1",1,36,184.0
184,"2,0,0,0,0,0",1,35,185.0
185,"2,0,0,0,0,0",1,31,186.0
186,"0,1,1,1,1,1",1,25,187.0
187,"0,1,1,1,1,1",1,38,188.0
188,"1,0,0,0,0,0",1,33,189.0
189,"1,0,0,0,0,0",1,33,190.0
190,"2,1,1,1,1,1",1,23,191.0
191,"2,1,1,1,1,1",1,29,192.0
192,"0,0,0,0,0,0",1,33,193.0
193,"0,0,0,0,0,0",1,37,194.0
194,"1,1,1,1,1,1",1,18,195.0
195,"1,1,1,1,1,1",1,33,196.0
196,"2,0,0,0,0,0",1,34,197.0
197,"2,0,0,0,0,0",1,31,198.0
198,"0,1,1,1,1,1",1,24,199.0
199,"0,1,1,1,1,1",1,33,200.0
200,"1,0,0,0,0,0",1,30,201.0
201,"1,0,0,0,0,0",1,38,202.0
202,"2,1,1,1,1,1",1,22,203.0
203,"2,1,1,1,1,1",1,35,204.0
204,"0,0,0,0,0,0",1,35,205.0
205,"0,0,0,0,0,0",1,25,206.0
206,"1,1,1,1,1,1",1,19,207.0
207,"1,1,1,1,1,1",1,33,208.0
208,"2,0,0,0,0,0",1,26,209.0
209,"2,0,0,0,0,0",1,25,210.0
210,"0,1,1,1,1,1",1,19,211.0
211,"0,1,1,1,1,1",1,35,212.0
212,"1,0,0,0,0,0",1,27,213.0
213,"1,0,0,0,0,0",1,31,214.0
214,"2,1,1,1,1,1",1,16,215.0
215,"2,1,1,1,1,1",1,30,216.0
216,"0,0,0,0,0,0",1,33,217.0
217,"0,0,0,0,0,0",1,31,218.0
218,"1,1,1,1,1,1",1,22,219.0
219,"1,1,1,1,1,1",1,31,220.0
220,"2,0,0,0,0,0",1,35,221.0
221,"2,0,0,0,0,0",1,26,222.0
222,"0,1,1,1,1,1",1,20,223.0
223,"0,1,1,1,1,1",1,33,224.0
224,"1,0,0,0,0,0",1,34,225.0
225,"1,0,0,0,0,0",1,28,226.0
226,"2,1,1,1,1,1",1,23,227.0
227,"2,1,1,1,1,1",1,32,228.0
228,"0,0,0,0,0,0",1,32,229.0
229,"0,0,0,0,0,0",1,29,230.0
230,"1,1,1,1,1,1",1,20,231.0
231,"1,1,1,1,1,1",1,32,232.0
232,"2,0,0,0,0,0",1,33,233.0
233,"2,0,0,0,0,0",1,24,234.0
234,"0,1,1,1,1,1",1,21,235.0
235,"0,1,1,1,1,1",1,34,236.0
236,"1,0,0,0,0,0",1,26,237.0
237,"1,0,0,0,0,0",1,23,238.0
238,"2,1,1,1,1,1",1,20,239.0
239,"2,1,1,1,1,1",1,29,240.0
240,"0,0,0,0,0,0",1,33,241.0
241,"0,0,0,0,0,0",1,26,242.0
242,"1,1,1,1,1,1",1,26,243.0
243,"1,1,1,1,1,1",1,41,244.0
244,"2,0,0,0,0,0",1,32,245.0
245,"2,0,0,0,0,0",1,25,246.0
246,"0,1,1,1,1,1",1,22,247.0
247,"0,1,1,1,1,1",1,40,248.0
248,"1,0,0,0,0,0",1,32,249.0
249,"1,0,0,0,0,0",1,27,250.0
250,"2,1,1,1,1,1",1,23,251.0
251,"2,1,1,1,1,1",1,39,252.0
252,"0,0,0,0,0,0",1,29,253.0
253,"0,0,0,0,0,0",1,30,254.0
254,"1,1,1,1,1,1",1,25,255.0
255,"1,1,1,1,1,1",1,40,256.0
256,"2,0,0,0,0,0",1,32,257.0
257,"2,0,0,0,0,0",1,31,258.0
258,"0,1,1,1,1,1",1,22,259.0
259,"0,1,1,1,1,1",1,33,260.0
260,"1,0,0,0,0,0",1,39,261.0
261,"1,0,0,0,0,0",1,35,262.0
262,"2,1,1,1,1,1",1,24,263.0
263,"2,1,1,1,1,1",1,43,264.0
264,"0,0,0,0,0,0",1,34,265.0
265,"0,0,0,0,0,0",1,27,266.0
266,"1,1,1,1,1,1",1,24,267.0
267,"1,1,1,1,1,1",1,37,268.0
268,"2,0,0,0,0,0",1,38,269.0
269,"2,0,0,0,0,0",1,25,270.0
270,"0,1,1,1,1,1",1,24,271.0
271,"0,1,1,1,1,1",1,42,272.0
272,"1,0,0,0,0,0",1,33,273.0
273,"1,0,0,0,0,0",1,34,274.0
274,"2,1,1,1,1,1",1,24,275.0
275,"2,1,1,1,1,1",1,35,276.0
276,"0,0,0,0,0,0",1,37,277.0
277,"0,0,0,0,0,0",1,33,278.0
278,"1,1,1,1,1,1",1,26,279.0
279,"1,1,1,1,1,1",1,42,280.0
280,"2,0,0,0,0,0",1,43,281.0
281,"2,0,0,0,0,0",1,36,282.0
282,"0,1,1,1,1,1",1,22,283.0
283,"0,1,1,1,1,1",1,40,284.0
284,"1,0,0,0,0,0",1,37,285.0
285,"1,0,0,0,0,0",1,26,286.0
286,"2,1,1,1,1,1",1,27,287.0
287,"2,1,1,1,1,1",1,36,288.0
288,"0,0,0,0,0,0",1,36,289.0
289,"0,0,0,0,0,0",1,35,290.0
290,"1,1,1,1,1,1",1,34,291.0
291,"1,1,1,1,1,1",1,38,292.0
292,"2,0,0,0,0,0",1,41,293.0
293,"2,0,0,0,0,0",1,28,294.0
294,"0,1,1,1,1,1",1,30,295.0
295,"0,1,1,1,1,1",1,42,296.0
296,"1,0,0,0,0,0",1,41,297.0
297,"1,0,0,0,0,0",1,34,298.0
298,"2,1,1,1,1,1",1,40,299.0
299,"2,1,1,1,1,1",1,41,300.0
300,"0,0,0,0,0,0",1,34,301.0
301,"0,0,0,0,0,0",1,30,302.0
302,"1,1,1,1,1,1",1,33,303.0
303,"1,1,1,1,1,1",1,35,304.0
304,"2,0,0,0,0,0",1,40,305.0
305,"2,0,0,0,0,0",1,25,306.0
306,"0,1,1,1,1,1",1,37,307.0
307,"0,1,1,1,1,1",1,37,308.0
308,"1,0,0,0,0,0",1,39,309.0
309,"1,0,0,0,0,0",1,32,310.0
310,"2,1,1,1,1,1",1,32,311.0
311,"2,1,1,1,1,1",1,37,312.0
312,"0,0,0,0,0,0",1,43,313.0
313,"0,0,0,0,0,0",1,37,314.0
314,"1,1,1,1,1,1",1,26,315.0
315,"1,1,1,1,1,1",1,40,316.0
316,"2,0,0,0,0,0",1,40,317.0
317,"2,0,0,0,0,0",1,39,318.0
318,"0,1,1,1,1,1",1,30,319.0
319,"0,1,1,1,1,1",1,41,320.0
320,"1,0,0,0,0,0",1,39,321.0
321,"1,0,0,0,0,0",1,26,322.0
322,"2,1,1,1,1,1",1,31,323.0
323,"2,1,1,1,1,1",1,40,324.0
324,"0,0,0,0,0,0",1,38,325.0
325,"0,0,0,0,0,0",1,33,326.0
326,"1,1,1,1,1,1",1,31,327.0
327,"1,1,1,1,1,1",1,38,328.0
328,"2,0,0,0,0,0",1,41,329.0
329,"2,0,0,0,0,0",1,43,330.0
330,"0,1,1,1,1,1",1,30,331.0
331,"0,1,1,1,1,1",1,44,332.0
332,"1,0,0,0,0,0",1,41,333.0
333,"1,0,0,0,0,0",1,38,334.0
334,"2,1,1,1,1,1",1,29,335.0
335,"2,1,1,1,1,1",1,40,336.0
