,average_speed,average_waiting_time,episode,number_arrived_car,number_departed_car,number_stopped_car,number_total_car,time_sec
0,0.0,0.0,1,0,6,6,6,1
1,3.316235206051109,0.0,1,0,0,0,6,2
2,6.587932100602692,0.0,1,0,1,1,7,3
3,9.100874295545509,0.0,1,0,1,1,8,4
4,11.186872046932372,0.0,1,0,1,1,9,5
5,14.537869826257126,0.0,1,0,0,0,9,6
6,12.992465852579905,0.0,1,0,0,0,9,7
7,8.778030140617197,0.0,1,0,2,4,11,8
8,9.16950366658377,0.16666666666666666,1,0,1,4,12,9
9,9.369006568450114,0.35714285714285715,1,0,2,5,14,10
10,8.356199402583838,0.4444444444444444,1,0,4,7,18,11
11,9.397985650315,0.5789473684210527,1,0,1,4,19,12
12,9.716968328847429,0.6666666666666666,1,0,2,5,21,13
13,10.263505341459839,0.8095238095238095,1,0,0,4,21,14
14,9.772541167815412,0.9545454545454546,1,0,1,6,22,15
15,8.45059259891236,1.04,1,0,3,8,25,16
16,8.465102594359605,1.1481481481481481,1,0,2,7,27,17
17,9.596794280444792,1.3571428571428572,1,0,1,8,28,18
18,9.67694249451155,1.4516129032258065,1,0,3,11,31,19
19,10.637274033557382,1.7096774193548387,1,0,0,8,31,20
20,10.43811075794499,1.8484848484848484,1,0,2,10,33,21
21,9.407919409666126,2.0,1,0,2,11,35,22
22,8.539488679801245,2.2222222222222223,1,0,1,11,36,23
23,8.099348026691104,1.2432432432432432,1,0,1,10,37,24
24,8.953471959472049,0.9459459459459459,1,0,0,7,37,25
25,10.14512356326768,0.8918918918918919,1,0,0,6,37,26
26,10.071813426496984,0.9487179487179487,1,0,2,8,39,27
27,9.760934695223913,1.024390243902439,1,0,2,9,41,28
28,8.924412307484252,1.1395348837209303,1,1,3,11,43,29
29,8.39003186006619,1.2954545454545454,1,1,2,12,44,30
30,7.871516922103784,1.4042553191489362,1,1,4,15,47,31
31,8.148574932726298,1.6595744680851063,1,1,1,14,47,32
32,8.384897850596161,2.022222222222222,1,2,0,14,45,33
33,8.1947956127421,2.234042553191489,1,0,2,17,47,34
34,7.904337014364429,2.608695652173913,1,2,1,18,46,35
