,action,episode,reward,step,time_sec
0,"3,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,5,2,1,3,3,0,0,3,2,0",1,0,1.0,5
1,"5,2,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,2,4,0,1,1,0,1,0,0,5,1",1,0,2.0,10
2,"0,2,1,0,0,1,1,1,1,3,0,0,1,0,1,1,1,0,4,2,0,0,0,1,2,0,0,1",1,0,3.0,15
3,"0,1,1,1,0,2,1,1,0,0,1,0,1,0,0,2,1,0,1,0,0,3,3,0,0,3,2,1",1,0,4.0,20
4,"3,1,1,1,0,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3,3,2,3,2,0,1",1,-1,5.0,25
5,"2,2,1,1,0,0,1,1,1,3,0,0,0,1,0,0,1,0,5,0,0,0,2,0,0,1,2,1",1,0,6.0,30
6,"5,3,1,1,0,3,0,1,1,1,1,0,1,1,0,2,0,0,2,2,0,0,2,0,2,0,4,1",1,-2,7.0,35
7,"5,0,1,1,0,0,1,2,1,4,1,0,0,1,1,0,1,1,3,1,0,3,0,0,1,1,2,0",1,-3,8.0,40
8,"4,2,0,1,0,2,1,0,0,0,1,0,1,1,0,2,0,0,3,0,0,1,0,2,0,3,2,0",1,-3,9.0,45
9,"1,0,1,0,0,1,1,0,0,2,1,0,3,0,1,3,1,0,4,2,0,1,2,2,1,0,5,1",1,-3,10.0,50
10,"4,0,1,0,0,0,0,2,1,3,1,0,1,1,1,3,0,0,3,1,1,1,0,0,2,3,2,1",1,-3,11.0,55
11,"1,2,1,1,0,2,1,0,1,2,0,0,2,1,0,2,1,0,0,2,0,0,1,0,0,2,5,1",1,-3,12.0,60
12,"5,0,1,0,0,1,1,1,1,4,0,0,0,1,1,0,0,0,4,2,0,0,0,0,1,1,1,2",1,-2,13.0,65
13,"5,0,1,1,0,0,0,1,0,4,1,0,0,0,1,1,0,0,5,0,0,0,2,0,1,2,2,0",1,-5,14.0,70
14,"1,3,1,1,0,0,0,1,0,3,0,0,1,0,1,2,0,0,4,1,0,3,3,1,0,1,2,1",1,-3,15.0,75
15,"5,0,0,1,0,3,0,1,1,1,1,0,1,0,0,3,1,1,4,0,0,1,0,0,1,2,4,0",1,-8,16.0,80
16,"4,3,1,1,0,1,1,1,1,3,0,0,1,1,1,3,0,0,4,2,0,2,0,0,0,1,0,0",1,-6,17.0,85
17,"0,3,1,0,0,0,1,0,0,4,0,0,1,1,0,2,0,0,2,1,0,3,1,2,0,3,2,1",1,-2,18.0,90
18,"4,0,0,0,0,1,0,2,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,2,1,2,0",1,-2,19.0,95
19,"5,0,0,1,0,0,1,3,1,2,0,0,3,1,0,1,1,0,2,2,0,3,2,3,1,2,2,1",1,-3,20.0,100
20,"4,1,0,1,0,2,1,0,0,2,1,0,3,1,0,0,1,1,4,2,0,3,0,3,3,1,2,0",1,-6,21.0,105
21,"0,0,0,1,0,2,0,0,1,1,0,0,3,0,0,0,0,1,4,1,0,0,0,3,0,0,5,2",1,-5,22.0,110
22,"3,0,0,1,0,0,1,1,0,3,1,0,1,1,0,0,0,0,4,2,0,1,2,2,2,3,3,1",1,-3,23.0,115
23,"4,3,0,1,0,2,1,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,2,0,2,2,0,1",1,-5,24.0,120
