,arrival_sec,depart_sec,duration_sec,episode,id,wait_sec,wait_step
0,259.00,55.00,204.00,1,f:0_0.5,61.31,31
1,260.00,77.00,183.00,1,f:0_0.7,71.48,43
2,266.00,66.00,200.00,1,f:0_0.6,57.04,24
3,273.00,99.00,174.00,1,f:0_0.9,52.53,30
4,281.00,110.00,171.00,1,f:0_0.10,62.11,29
5,287.00,88.00,199.00,1,f:0_0.8,59.79,22
6,289.00,121.00,168.00,1,f:0_0.11,51.19,19
7,291.00,166.00,125.00,1,f:0_0.15,27.27,0
8,302.00,155.00,147.00,1,f:0_0.14,33.56,8
9,316.00,144.00,172.00,1,f:0_1.13,79.27,60
10,317.00,0.00,317.00,1,f:0_1.0,271.17,254
11,336.00,0.00,336.00,1,f:0_0.0,265.53,245
12,349.00,132.00,217.00,1,f:0_0.12,91.69,66
13,359.00,144.00,215.00,1,f:0_0.13,103.99,82
14,384.00,188.00,196.00,1,f:0_0.17,67.80,46
15,385.00,210.00,175.00,1,f:0_0.19,61.25,32
16,391.00,199.00,192.00,1,f:0_0.18,53.41,21
17,397.00,221.00,176.00,1,f:0_0.20,49.26,19
18,399.00,333.00,66.00,1,f:1_1.3,8.85,1
19,406.00,344.00,62.00,1,f:1_1.4,8.15,0
20,409.00,265.00,144.00,1,f:0_0.24,24.14,5
21,415.00,177.00,238.00,1,f:0_0.16,126.83,97
22,421.00,300.00,121.00,1,f:1_1.0,58.33,46
23,428.00,232.00,196.00,1,f:0_0.21,38.52,9
24,432.00,33.00,399.00,1,f:0_0.3,288.53,267
25,434.00,322.00,112.00,1,f:1_1.2,50.49,39
26,438.00,311.00,127.00,1,f:1_1.1,54.91,35
27,439.00,254.00,185.00,1,f:0_0.23,77.42,41
28,441.00,355.00,86.00,1,f:1_1.5,13.95,0
29,446.00,22.00,424.00,1,f:0_1.2,364.70,349
30,455.00,243.00,212.00,1,f:0_0.22,80.42,46
31,457.00,288.00,169.00,1,f:0_0.26,43.64,13
32,461.00,366.00,95.00,1,f:1_1.6,25.95,8
33,466.00,11.00,455.00,1,f:0_0.1,370.95,354
34,466.00,77.00,389.00,1,f:0_1.7,295.92,265
35,467.00,221.00,246.00,1,f:0_1.20,156.40,129
36,468.00,22.00,446.00,1,f:0_0.2,364.61,340
37,470.00,388.00,82.00,1,f:1_1.8,16.46,5
38,475.00,11.00,464.00,1,f:0_1.1,415.03,401
39,488.00,377.00,111.00,1,f:1_1.7,46.64,34
40,491.00,311.00,180.00,1,f:1_0.1,72.95,35
41,498.00,399.00,99.00,1,f:1_1.9,35.55,23
42,499.00,300.00,199.00,1,f:1_0.0,85.47,50
43,503.00,299.00,204.00,1,f:0_0.27,80.81,48
44,512.00,410.00,102.00,1,f:1_1.10,23.12,6
45,515.00,432.00,83.00,1,f:1_1.12,18.49,5
46,521.00,374.00,147.00,1,f:1_2.3,56.95,35
47,523.00,421.00,102.00,1,f:1_1.11,38.18,29
48,537.00,322.00,215.00,1,f:1_0.2,69.54,43
49,537.00,99.00,438.00,1,f:0_1.9,328.31,293
50,538.00,110.00,428.00,1,f:0_1.10,345.67,306
51,539.00,355.00,184.00,1,f:1_0.5,68.40,31
52,541.00,455.00,86.00,1,f:1_1.14,12.42,0
53,559.00,44.00,515.00,1,f:0_0.4,412.03,393
54,573.00,444.00,129.00,1,f:1_1.13,61.58,44
55,579.00,466.00,113.00,1,f:1_1.15,21.08,3
56,580.00,477.00,103.00,1,f:1_1.16,25.43,0
57,581.00,66.00,515.00,1,f:0_1.6,419.21,397
58,582.00,166.00,416.00,1,f:0_1.15,302.74,268
59,582.00,333.00,249.00,1,f:1_0.3,128.63,87
60,586.00,367.00,219.00,1,f:1_2.2,117.78,90
61,587.00,399.00,188.00,1,f:1_0.9,77.50,37
62,588.00,344.00,244.00,1,f:1_0.4,116.74,74
63,595.00,488.00,107.00,1,f:1_1.17,51.98,42
64,599.00,276.00,323.00,1,f:0_0.25,243.14,217
65,613.00,499.00,114.00,1,f:1_1.18,39.66,22
66,614.00,532.00,82.00,1,f:1_1.21,17.09,0
67,615.00,132.00,483.00,1,f:0_1.12,388.05,338
68,616.00,521.00,95.00,1,f:1_1.20,38.77,19
69,619.00,377.00,242.00,1,f:1_0.7,105.69,59
70,622.00,543.00,79.00,1,f:1_1.22,20.12,4
71,629.00,388.00,241.00,1,f:1_0.8,114.92,64
72,630.00,506.00,124.00,1,f:1_2.16,37.69,5
73,631.00,410.00,221.00,1,f:1_0.10,94.88,44
74,639.00,121.00,518.00,1,f:0_1.11,415.68,365
75,639.00,300.00,339.00,1,f:1_3.0,255.62,228
76,641.00,88.00,553.00,1,f:0_1.8,436.31,390
