,action,episode,reward,step,time_sec
0,"2,2,0,0,0,3,1,3,1,0,1,1,1,1,0,3,0,2,4,2,0,0,1,3,3,0,3,1",1,0,1.0,5
1,"2,2,0,0,0,3,1,3,1,0,1,1,1,1,0,3,0,2,4,2,0,0,1,3,3,0,3,1",1,0,2.0,10
2,"2,2,0,0,0,3,1,3,1,0,1,1,1,1,0,3,0,2,4,2,0,0,1,3,3,0,3,1",1,-1,3.0,15
3,"4,2,0,0,0,3,1,3,1,0,0,1,1,1,0,3,0,2,4,2,0,0,1,3,3,0,3,1",1,0,4.0,20
4,"4,2,0,0,0,3,1,3,1,0,1,1,1,1,0,3,0,2,4,2,0,0,2,2,3,3,3,1",1,-1,5.0,25
5,"0,2,0,0,0,3,1,3,1,0,1,1,1,1,0,3,0,2,4,2,0,0,2,2,3,3,3,1",1,-1,6.0,30
6,"4,2,0,0,0,3,1,3,1,0,0,1,1,1,0,3,0,2,4,2,0,0,2,3,3,0,3,1",1,0,7.0,35
7,"4,2,0,0,0,3,1,3,1,0,1,1,1,1,0,3,0,2,4,2,0,0,2,2,3,3,3,1",1,-1,8.0,40
8,"0,2,0,0,0,3,1,3,1,0,1,1,3,1,0,3,0,2,4,0,0,0,2,2,3,3,3,1",1,-2,9.0,45
9,"0,2,0,0,0,3,1,3,1,0,0,1,1,1,0,3,0,2,4,2,0,0,2,3,3,0,3,1",1,0,10.0,50
10,"0,2,0,0,0,3,1,3,1,0,1,1,1,1,0,3,0,2,4,2,0,0,2,2,3,3,3,1",1,-1,11.0,55
11,"0,2,0,0,0,3,1,3,1,0,0,1,3,1,0,3,0,2,4,2,0,0,2,2,3,3,3,1",1,-1,12.0,60
12,"4,2,0,0,0,3,1,3,1,0,1,1,3,1,0,3,0,2,4,0,0,0,2,2,3,3,3,1",1,-3,13.0,65
13,"4,2,0,0,0,3,1,3,1,0,1,1,3,1,0,3,0,2,4,2,0,0,2,2,3,3,3,1",1,-3,14.0,70
14,"0,2,0,0,0,3,1,3,1,0,1,1,3,1,0,3,0,2,4,0,0,0,2,2,3,3,3,1",1,-3,15.0,75
15,"0,2,0,0,0,3,1,3,1,0,0,1,3,1,0,3,0,2,4,2,0,0,2,2,3,0,3,1",1,-1,16.0,80
16,"4,2,0,0,0,3,1,3,1,0,1,1,3,1,0,3,0,2,4,2,0,0,2,2,3,3,3,1",1,-4,17.0,85
17,"0,2,0,0,0,3,1,3,1,0,1,1,3,1,0,3,0,2,4,0,0,0,2,2,3,3,3,1",1,-3,18.0,90
18,"4,2,0,0,0,3,1,3,1,0,0,1,3,1,0,3,0,2,4,0,0,0,2,2,3,0,3,1",1,-2,19.0,95
19,"0,2,0,0,0,3,1,3,1,0,1,1,3,1,0,3,0,2,4,0,0,0,2,2,3,3,3,1",1,-3,20.0,100
20,"4,2,0,0,0,3,1,3,1,0,0,1,3,1,0,3,0,2,4,2,0,0,2,2,3,3,3,1",1,-3,21.0,105
21,"4,2,0,0,0,3,1,0,1,0,1,1,3,1,0,3,0,2,4,0,0,0,2,2,3,3,3,1",1,-3,22.0,110
22,"4,2,0,0,0,3,1,3,1,0,1,1,3,1,0,3,0,2,4,2,0,0,2,2,3,3,3,1",1,-5,23.0,115
23,"4,2,1,0,0,3,1,3,1,0,1,1,3,1,0,3,0,2,4,0,0,0,2,2,3,3,3,1",1,-6,24.0,120
24,"0,2,0,0,0,3,1,0,1,0,0,1,3,1,0,3,0,2,4,0,0,0,2,2,3,3,3,1",1,-3,25.0,125
25,"4,2,0,0,0,3,1,3,1,0,1,1,3,1,0,3,0,2,4,0,0,0,2,2,3,3,3,1",1,-6,26.0,130
26,"0,2,0,0,0,3,1,3,1,0,1,1,3,1,0,3,0,2,4,2,0,0,2,2,3,3,3,1",1,-6,27.0,135
27,"4,2,0,0,0,3,1,3,1,0,0,1,3,1,0,3,0,2,4,0,0,0,2,2,3,0,3,1",1,-5,28.0,140
28,"4,2,0,0,0,3,1,3,1,0,1,1,3,1,0,3,0,2,4,2,0,0,2,2,3,3,3,1",1,-6,29.0,145
29,"4,2,0,0,0,3,1,3,1,0,1,1,3,1,0,3,0,2,4,0,0,0,2,2,3,3,3,1",1,-8,30.0,150
30,"0,2,0,0,0,3,1,3,1,0,0,1,3,1,0,3,0,2,4,0,0,0,2,2,3,3,3,1",1,-5,31.0,155
31,"0,2,0,0,0,1,1,3,1,0,0,1,3,1,0,3,0,2,4,0,0,0,2,2,3,3,3,1",1,-6,32.0,160
32,"0,2,0,0,0,1,1,3,1,0,1,1,3,1,0,3,0,2,4,0,0,0,2,2,3,3,3,1",1,-6,33.0,165
33,"2,2,1,0,0,1,1,3,1,0,1,1,3,1,0,3,0,2,4,0,0,0,2,3,3,3,3,1",1,-7,34.0,170
34,"4,2,1,0,0,1,1,3,1,0,0,1,3,1,0,3,0,2,4,2,0,0,2,3,3,3,3,1",1,-6,35.0,175
35,"4,2,0,0,0,3,1,3,1,0,1,1,3,1,0,3,0,2,4,2,0,0,2,2,3,3,3,1",1,-8,36.0,180
36,"4,2,1,0,0,1,1,3,1,0,0,1,3,1,0,3,0,2,4,0,0,0,2,2,3,3,3,1",1,-7,37.0,185
37,"4,2,1,0,0,1,1,3,1,0,1,1,3,1,0,3,0,2,4,0,0,0,2,2,3,3,3,1",1,-9,38.0,190
38,"0,2,1,0,0,1,1,3,1,0,0,1,3,1,0,3,0,2,4,0,0,0,2,2,3,3,3,1",1,-8,39.0,195
39,"4,2,0,0,0,1,1,3,1,0,1,1,3,1,0,3,0,2,4,2,0,0,2,2,3,3,3,1",1,-9,40.0,200
40,"0,2,0,0,0,1,1,3,1,0,0,1,3,1,0,3,0,2,4,0,0,0,2,2,3,3,3,1",1,-7,41.0,205
41,"4,2,0,0,0,1,1,3,1,0,1,1,3,1,0,3,0,2,4,2,0,0,2,2,3,3,3,1",1,-10,42.0,210
42,"0,2,0,0,0,1,1,3,1,0,0,1,1,1,0,3,0,2,4,0,0,0,2,3,3,3,3,1",1,-7,43.0,215
43,"4,2,0,0,0,1,1,3,1,0,1,1,3,1,0,3,0,2,4,0,0,0,2,2,3,3,3,1",1,-7,44.0,220
44,"0,2,0,0,0,1,1,3,1,0,1,1,3,1,0,3,0,2,4,0,0,0,2,2,3,3,3,1",1,-9,45.0,225
45,"0,2,1,0,0,1,1,3,1,0,1,1,3,1,0,3,0,2,4,0,0,0,2,2,3,3,3,1",1,-9,46.0,230
46,"4,2,1,0,0,1,1,3,1,0,0,1,3,1,0,3,0,2,4,0,0,0,2,2,3,0,3,1",1,-8,47.0,235
47,"4,2,1,0,0,1,1,3,1,0,1,1,3,1,0,3,0,2,4,0,0,0,2,2,3,3,3,1",1,-11,48.0,240
48,"0,2,1,0,0,1,1,3,1,0,0,1,3,1,0,3,0,2,4,2,0,0,2,3,3,3,3,1",1,-9,49.0,245
49,"4,2,1,0,0,1,1,3,1,0,1,1,3,1,0,3,0,2,4,0,0,0,2,2,3,3,3,1",1,-10,50.0,250
50,"4,2,1,0,0,1,1,3,1,0,1,1,3,1,0,3,0,2,4,0,0,0,2,2,3,3,3,1",1,-11,51.0,255
51,"4,2,1,0,0,1,1,3,1,0,1,1,3,1,0,3,0,2,4,0,0,0,2,2,3,3,3,1",1,-13,52.0,260
52,"0,2,1,0,0,1,1,3,1,0,0,1,3,1,0,3,0,2,4,0,0,0,2,2,3,3,3,1",1,-11,53.0,265
53,"4,2,0,0,0,1,1,3,1,0,1,1,3,1,0,3,0,2,4,0,0,0,2,2,3,3,3,1",1,-12,54.0,270
54,"4,2,0,0,0,1,1,3,1,0,1,1,3,1,0,3,0,2,4,0,0,0,2,2,3,3,3,1",1,-15,55.0,275
55,"0,2,0,0,0,1,1,3,1,0,1,1,3,1,0,3,0,2,4,0,0,0,2,2,3,3,3,1",1,-15,56.0,280
56,"0,2,0,0,0,1,1,3,1,0,0,1,3,1,0,3,0,2,4,0,0,0,2,2,3,0,3,1",1,-14,57.0,285
57,"4,2,0,0,0,1,1,3,1,0,1,1,3,1,0,3,0,2,4,0,0,0,2,2,3,3,3,1",1,-16,58.0,290
58,"4,2,0,0,0,1,1,3,1,0,1,1,3,1,0,3,0,2,4,0,0,0,2,2,3,3,3,1",1,-16,59.0,295
59,"0,2,0,0,0,1,1,3,1,0,1,1,3,1,0,3,0,2,4,2,0,0,2,2,3,3,3,1",1,-15,60.0,300
60,"4,2,0,0,0,1,1,3,1,0,1,1,3,1,0,3,0,2,4,0,0,0,2,2,3,0,3,1",1,-15,61.0,305
