,arrival_sec,depart_sec,duration_sec,episode,id,wait_sec,wait_step
0,84.00,11.00,73.00,1,f:0_1.1,22.27,9
1,93.00,22.00,71.00,1,f:0_1.2,16.38,6
2,96.00,33.00,63.00,1,f:0_1.3,15.01,5
3,103.00,0.00,103.00,1,f:0_0.0,30.18,13
4,120.00,0.00,120.00,1,f:0_1.0,70.23,55
5,121.00,11.00,110.00,1,f:0_0.1,24.07,7
6,125.00,66.00,59.00,1,f:0_1.6,9.20,0
7,129.00,33.00,96.00,1,f:0_0.3,14.32,0
8,131.00,22.00,109.00,1,f:0_0.2,25.11,10
9,135.00,44.00,91.00,1,f:0_1.4,42.03,27
10,154.00,44.00,110.00,1,f:0_0.4,34.86,18
11,165.00,55.00,110.00,1,f:0_0.5,21.07,2
12,180.00,99.00,81.00,1,f:0_1.9,20.09,8
13,182.00,110.00,72.00,1,f:0_1.10,27.85,1
14,186.00,110.00,76.00,1,f:0_0.10,10.50,0
15,192.00,99.00,93.00,1,f:0_0.9,19.83,5
16,198.00,121.00,77.00,1,f:0_1.11,26.29,10
17,200.00,132.00,68.00,1,f:0_1.12,20.65,8
18,202.00,144.00,58.00,1,f:0_1.13,9.05,0
19,225.00,144.00,81.00,1,f:0_0.13,18.70,1
20,232.00,166.00,66.00,1,f:0_1.15,20.78,9
21,235.00,132.00,103.00,1,f:0_0.12,24.05,8
22,244.00,166.00,78.00,1,f:0_0.15,17.19,3
23,244.00,155.00,89.00,1,f:0_1.14,30.08,18
24,253.00,177.00,76.00,1,f:0_1.16,26.32,7
25,262.00,188.00,74.00,1,f:0_1.17,18.24,3
26,264.00,199.00,65.00,1,f:0_1.18,17.38,7
27,270.00,177.00,93.00,1,f:0_0.16,29.55,16
28,270.00,210.00,60.00,1,f:0_1.19,8.72,0
29,303.00,221.00,82.00,1,f:0_1.20,28.30,17
30,307.00,210.00,97.00,1,f:0_0.19,29.98,16
31,325.00,243.00,82.00,1,f:0_1.22,26.47,12
32,341.00,254.00,87.00,1,f:0_1.23,30.60,19
33,343.00,265.00,78.00,1,f:0_1.24,28.37,12
34,358.00,299.00,59.00,1,f:0_1.27,9.54,0
35,361.00,288.00,73.00,1,f:0_1.26,20.12,4
36,363.00,276.00,87.00,1,f:0_1.25,31.19,12
37,371.00,300.00,71.00,1,f:1_1.0,7.74,0
38,378.00,265.00,113.00,1,f:0_0.24,43.81,29
39,382.00,77.00,305.00,1,f:0_1.7,251.01,241
40,386.00,288.00,98.00,1,f:0_0.26,24.44,10
41,395.00,88.00,307.00,1,f:0_1.8,236.86,223
42,396.00,322.00,74.00,1,f:1_1.2,8.54,0
43,396.00,311.00,85.00,1,f:1_2.1,35.78,20
44,396.00,300.00,96.00,1,f:1_3.0,16.64,0
45,401.00,322.00,79.00,1,f:1_3.2,12.79,2
